name,Place_ID,street,magager,tele_number
巷上嘉园,1111,安定门街道,,
中轴国际,1112,安定门街道,,
中景濠庭,1113,安定门街道,,
中涤胡同甲2号院,1114,安定门街道,,
凯景铭座,1115,安定门街道,,
北京SKP,1126,安定门街道,,
国贸商城,1127,安定门街道,,
北锣鼓巷,1211,建国门街道,,
宝钞苑,1212,建国门街道,,
花园胡同,1213,建国门街道,,
华府景园,1214,建国门街道,,
湖景苑,1215,建国门街道,,
世纪金源,1226,建国门街道,,
太古里,1227,建国门街道,,
西水井胡同,1311,朝阳门街道,,
朝阳首府,1312,朝阳门街道,,
芳草苑公寓,1313,朝阳门街道,,
东营房八条,1314,朝阳门街道,,
迪阳公寓,1315,朝阳门街道,,
合生汇,1326,朝阳门街道,,
大悦城,1327,朝阳门街道,,
东环广场,1411,东直门街道,,
正东国际大厦,1412,东直门街道,,
元嘉国际公寓,1413,东直门街道,,
西香河园,1414,东直门街道,,
新中西里,1415,东直门街道,,
首创奥特莱斯,1426,东直门街道,,
荟聚,1427,东直门街道,,
雅宝里社区,1511,东华门街道,,
怡景园,1512,东华门街道,,
京华豪园,1513,东华门街道,,
蓝筹名座,1514,东华门街道,,
日坛国际贸易中心,1515,东华门街道,,
燕莎奥特莱斯,1526,东华门街道,,
龙湖天街,1527,东华门街道,,
东方银座,1611,和平里街道,,
民安小区,1612,和平里街道,,
北新桥头条,1613,和平里街道,,
察慈小区,1614,和平里街道,,
榆树馆西里,1615,和平里街道,,
万达,1626,和平里街道,,
芳草地,1627,和平里街道,,
郝家湾,1711,北新桥街道,,
进步巷,1712,北新桥街道,,
九和苑,1713,北新桥街道,,
锦官苑,1714,北新桥街道,,
五栋大楼,1715,北新桥街道,,
颐堤港,1726,北新桥街道,,
蓝色港湾,1727,北新桥街道,,
团结大院,1811,交道口街道,,
铁路巷,1812,交道口街道,,
京桥国际公馆,1813,交道口街道,,
德宝新园,1814,交道口街道,,
交大嘉园,1815,交道口街道,,
王府井百货,1826,交道口街道,,
银泰百货,1827,交道口街道,,
广通苑,1911,景山街道,,
东桃园,1912,景山街道,,
卫生部小区,1913,景山街道,,
熙府桃园,1914,景山街道,,
新兴东巷,1915,景山街道,,
百联,1926,景山街道,,
茂业,1927,景山街道,,
玉桃园,2111,东四街道,,
交大畅园,2112,东四街道,,
铁道科学研究院,2113,东四街道,,
舒至嘉园,2114,东四街道,,
知春嘉园,2115,东四街道,,
肯德基,2126,东四街道,,
麦当劳,2127,东四街道,,
盈华盛嘉,2211,月坛街道,,
地藏庵,2212,月坛街道,,
南营房,2213,月坛街道,,
南沙沟小区,2214,月坛街道,,
巴黎公寓,2215,月坛街道,,
欧亚商都,2226,月坛街道,,
武商广场,2227,月坛街道,,
太月园,2311,德胜街道,,
学院国际大厦,2312,德胜街道,,
锦秋知春,2313,德胜街道,,
金谷园,2314,德胜街道,,
罗庄东里,2315,德胜街道,,
常熟服装城,2326,德胜街道,,
海宁中国皮革城,2327,德胜街道,,
北航家属院,2411,新街口街道,,
碧兴园,2412,新街口街道,,
和景园,2413,新街口街道,,
汉容家园,2414,新街口街道,,
航南小区,2415,新街口街道,,
金鹰,2426,新街口街道,,
利群集团,2427,新街口街道,,
宏嘉丽园,2511,西长安街街道,,
首体家属院,2512,西长安街街道,,
太阳园,2513,西长安街街道,,
盈都大厦,2514,西长安街街道,,
远大园五区,2515,西长安街街道,,
友谊阿波罗,2526,西长安街街道,,
新华百货,2527,西长安街街道,,
烟树园,2611,展览路街道,,
怡丽南园,2612,展览路街道,,
晨月园,2613,展览路街道,,
春荫园,2614,展览路街道,,
金夕园,2615,展览路街道,,
北三环大明宫,2626,展览路街道,,
湾田国际,2627,展览路街道,,
鲁艺上河村,2711,新镇街道,,
垂虹园,2712,新镇街道,,
翠叠园,2713,新镇街道,,
观山园,2714,新镇街道,,
世纪金源国际公寓,2715,新镇街道,,
舵落口广场,2726,新镇街道,,
弘阳装饰城,2727,新镇街道,,
时雨园,2811,石楼镇,,
晴波园,2812,石楼镇,,
晴雪园,2813,石楼镇,,
怡丽北园,2814,石楼镇,,
东冉家园,2815,石楼镇,,
九星市场,2826,石楼镇,,
金马凯旋家居,2827,石楼镇,,
翰林公馆,2911,拱辰街道,,
武警22号院,2912,拱辰街道,,
黄庄小区,2913,拱辰街道,,
大泥湾,2914,拱辰街道,,
中关村发育所,2915,拱辰街道,,
维也纳酒店,2926,拱辰街道,,
汉庭酒店,2927,拱辰街道,,
紫金数码,3111,西潞街道,,
新科详园,3112,西潞街道,,
希格玛公寓,3113,西潞街道,,
怡升园,3114,西潞街道,,
理想大厦,3115,西潞街道,,
亚朵,3126,西潞街道,,
格林豪泰,3127,西潞街道,,
空间物理所小区,3211,永顺镇,,
科熙小区,3212,永顺镇,,
航天社区,3213,永顺镇,,
恒兴大厦,3214,永顺镇,,
科技园小区,3215,永顺镇,,
海底捞,3226,永顺镇,,
必胜客,3227,永顺镇,,
荣上居,3311,梨园镇,,
东南小区,3312,梨园镇,,
科育小区,3313,梨园镇,,
中科大厦,3314,梨园镇,,
中科院青年公寓,3315,梨园镇,,
仿膳,3326,梨园镇,,
柴门,3327,梨园镇,,
